transaction_id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
23042130,2019-06-01 14:41:00,900,3412,$118.61,Swipe Transaction,61195,Panama City,FL,32401.0,5541,
22702314,2019-03-21 13:45:00,1741,3025,$-204.00,Chip Transaction,49637,Tucson,AZ,85736.0,3509,
22838524,2019-04-19 11:53:00,1081,3892,$-99.00,Chip Transaction,43293,Aurora,CO,80013.0,5499,
23477219,2019-09-01 11:46:00,1740,2382,$28.44,Chip Transaction,26032,Mukwonago,WI,53149.0,7210,
23066897,2019-06-06 21:24:00,1207,6056,$32.02,Online Transaction,39021,ONLINE,,,4784,
22382498,2019-01-12 18:34:00,1116,4905,$-61.00,Chip Transaction,43293,Telford,PA,18969.0,5499,
23519692,2019-09-10 11:29:00,1027,1352,$67.32,Swipe Transaction,58666,Olathe,KS,66062.0,5300,
22575801,2019-02-22 17:06:00,1008,2592,$9.10,Online Transaction,16798,ONLINE,,,4121,
22404388,2019-01-17 13:15:00,633,2597,$118.32,Chip Transaction,5248,Niagara Falls,NY,14303.0,5499,
22523425,2019-02-11 15:10:00,1398,4930,$87.00,Swipe Transaction,61195,Parsippany,NJ,7054.0,5541,
23054409,2019-06-04 08:47:00,1116,5559,$13.63,Online Transaction,39021,ONLINE,,,4784,
23103327,2019-06-14 14:58:00,185,5361,$379.36,Chip Transaction,89995,Elizabeth,NJ,7201.0,8111,
22584292,2019-02-24 13:46:00,1609,4681,$13.27,Chip Transaction,83480,Burke,VA,22015.0,9402,
23535464,2019-09-13 16:49:00,1963,4565,$26.51,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,
22988971,2019-05-21 11:35:00,1799,3076,$116.33,Swipe Transaction,59935,Marysville,WA,98270.0,5499,
23033840,2019-05-30 22:35:00,96,3695,$19.97,Swipe Transaction,78583,Yorba Linda,CA,92886.0,5812,
23236533,2019-07-12 15:41:00,1963,3364,$17.83,Online Transaction,16798,ONLINE,,,4121,
22950183,2019-05-13 05:55:00,1008,2592,$1.15,Chip Transaction,88646,Chicago,IL,60630.0,5812,
22736364,2019-03-28 16:59:00,68,5435,$40.00,Chip Transaction,27092,Cedarburg,WI,53012.0,4829,
23299647,2019-07-25 23:09:00,860,5782,$28.69,Chip Transaction,36385,Silver Spring,MD,20901.0,5813,
23421501,2019-08-20 15:25:00,542,2025,$7.20,Chip Transaction,14537,Oklahoma City,OK,73114.0,5912,
22877839,2019-04-27 15:29:00,1098,1320,$12.13,Online Transaction,88459,ONLINE,,,5311,
23387643,2019-08-13 12:28:00,1811,291,$25.64,Swipe Transaction,59251,Los Altos,CA,94024.0,5411,
23088964,2019-06-11 13:52:00,1940,4218,$100.00,Chip Transaction,27092,Elmhurst,NY,11373.0,4829,
22638210,2019-03-08 06:51:00,1079,3813,$17.24,Chip Transaction,89069,Rockville Centre,NY,11570.0,5251,
23572758,2019-09-21 15:40:00,1926,5993,$95.68,Online Transaction,59350,ONLINE,,,7922,
22680820,2019-03-17 04:07:00,1920,3861,$97.00,Chip Transaction,72351,Saint Joseph,MN,56374.0,5541,
23188166,2019-07-02 12:07:00,62,3369,$11.64,Swipe Transaction,78454,Auburn,CA,95602.0,5812,
23126714,2019-06-19 14:48:00,917,2887,$124.67,Chip Transaction,93709,Alhambra,CA,91803.0,8041,
23453673,2019-08-27 12:13:00,675,5261,$60.92,Chip Transaction,43293,Shippensburg,PA,17257.0,5499,
23028890,2019-05-29 22:44:00,350,2865,$36.19,Online Transaction,18563,ONLINE,,,4121,
22771166,2019-04-05 07:49:00,1833,6118,$2.10,Chip Transaction,75936,Lexington,TN,38351.0,5814,
22748650,2019-03-31 10:03:00,1140,3873,$11.98,Chip Transaction,43143,Lawrence,KS,66049.0,5411,
22496612,2019-02-06 06:22:00,217,5448,$-289.00,Chip Transaction,15574,San Marcos,TX,78666.0,3393,
23240374,2019-07-13 12:32:00,1995,1196,$0.62,Chip Transaction,87625,Lodi,NJ,7644.0,5812,
23178219,2019-06-30 10:35:00,301,3742,$6.82,Online Transaction,39021,ONLINE,,,4784,
22450811,2019-01-27 09:38:00,957,5042,$35.70,Swipe Transaction,5248,Germantown,MD,20874.0,5499,
23518878,2019-09-10 08:31:00,1827,5246,$-93.00,Chip Transaction,43293,Valley Center,CA,92082.0,5499,
22458983,2019-01-28 22:56:00,247,2179,$56.10,Chip Transaction,67570,Denham Springs,LA,70726.0,5311,
23046362,2019-06-02 13:07:00,1250,2904,$10.17,Chip Transaction,20519,Mount Pleasant,PA,15666.0,5942,
23081939,2019-06-10 04:29:00,1413,3195,$1.57,Chip Transaction,59935,Washington,IN,47501.0,5499,Technical Glitch
23223953,2019-07-10 05:42:00,1008,2325,$1.36,Chip Transaction,61195,Chicago,IL,60630.0,5541,
22601031,2019-02-28 08:57:00,1116,5559,$19.93,Online Transaction,39021,ONLINE,,,4784,
22397167,2019-01-15 21:58:00,1703,3602,$86.55,Chip Transaction,45926,Grand Junction,CO,81506.0,5814,
23128779,2019-06-20 05:40:00,1008,382,$1.14,Chip Transaction,63611,Chicago,IL,60630.0,5411,
23151587,2019-06-24 16:17:00,217,2691,$57.00,Swipe Transaction,83434,Summit Argo,IL,60501.0,7538,
23581797,2019-09-23 13:22:00,1250,2904,$12.52,Swipe Transaction,49608,Everett,PA,15537.0,5912,
23354566,2019-08-06 12:45:00,1920,3415,$77.23,Chip Transaction,19964,Sauk Rapids,MN,56379.0,5311,
23065990,2019-06-06 16:22:00,1854,3585,$6.06,Chip Transaction,65364,Chattanooga,TN,37421.0,7230,
22947981,2019-05-12 13:47:00,225,4780,$100.00,Chip Transaction,27092,Houston,TX,77064.0,4829,
22780148,2019-04-07 06:00:00,190,3851,$114.57,Chip Transaction,3997,Spring Grove,IL,60081.0,4111,
23189563,2019-07-02 16:47:00,1296,3087,$46.80,Chip Transaction,34490,Longwood,FL,32779.0,5719,
23277276,2019-07-21 08:47:00,1274,3200,$163.60,Chip Transaction,91128,Pascoag,RI,2859.0,5411,
22908665,2019-05-04 09:28:00,156,5438,$3.58,Chip Transaction,43962,Fontana,CA,92335.0,5411,
23421554,2019-08-20 15:35:00,1703,2969,$14.81,Chip Transaction,55528,Grand Junction,CO,81506.0,5411,
22464744,2019-01-30 11:01:00,1931,3530,$26.93,Chip Transaction,50783,Wellesley,MA,2482.0,5411,
22670573,2019-03-14 21:01:00,1759,4472,$93.25,Chip Transaction,46284,Oceanside,CA,92057.0,5411,
22684170,2019-03-17 15:40:00,115,19,$101.52,Chip Transaction,67570,Mamaroneck,NY,10543.0,5311,
23123924,2019-06-18 22:28:00,343,3953,$19.49,Swipe Transaction,97046,Manteca,CA,95337.0,5813,
23249962,2019-07-15 11:52:00,305,341,$2.84,Chip Transaction,75936,Auburn,NY,13021.0,5814,
22758510,2019-04-02 11:49:00,884,1373,$14.36,Chip Transaction,75936,Grand Rapids,MI,49534.0,5814,
22793930,2019-04-09 23:59:00,860,4920,$36.73,Chip Transaction,36385,Silver Spring,MD,20901.0,5813,
23483856,2019-09-02 16:43:00,1920,5579,$37.72,Swipe Transaction,73661,Thackerville,OK,73459.0,7995,
23387132,2019-08-13 10:44:00,1529,3927,$0.39,Chip Transaction,14528,Pompano Beach,FL,33076.0,5499,
